"id","pool","difficulty","depthCategory","numerical","mathKind","macroLightTouch","placementResult"
"P75-TRADE-M-010","medium","medium","SPECIALIZATION","true","specialization","PASS","PASS"
"P75-TRADE-M-011","medium","medium","TERMS_OF_TRADE","true","strictRate","PASS","PASS"
"P75-TRADE-M-012","medium","medium","SIMPLE_OPPORTUNITY_COST","true","equalCosts","PASS","PASS"
"P52B-TRADE-H-001","hard","hard","SPECIALIZATION","true","specialization","PASS","PASS"
"P52B-TRADE-H-002","hard","hard","TERMS_OF_TRADE","true","strictBounds","PASS","PASS"
"P52B-TRADE-H-003","hard","hard","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P52B-TRADE-H-004","hard","hard","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-H-005","hard","hard","TERMS_OF_TRADE","true","savings","PASS","PASS"
"P52B-TRADE-H-006","hard","hard","DISTRIBUTION_OF_GAINS","true","sumGains","PASS","PASS"
"P75-TRADE-H-007","hard","hard","RECIPROCAL_OPPORTUNITY_COST","true","reciprocalOutputs","PASS","PASS"
"P75-TRADE-H-008","hard","hard","DYNAMIC_TRANSFER","true","specialization","PASS","PASS"
"P75-TRADE-H-009","hard","hard","TERMS_OF_TRADE","true","boundary","PASS","PASS"
"P75-TRADE-H-010","hard","hard","TERMS_OF_TRADE","true","strictBounds","PASS","PASS"
"P75-TRADE-H-011","hard","hard","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P75-TRADE-H-012","hard","hard","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-EL-001","elite","elite","SIMPLE_OPPORTUNITY_COST","true","givenComparative","PASS","PASS"
"P52B-TRADE-EL-002","elite","elite","FULL_TRADE_MODEL","false","","PASS","PASS"
"P52B-TRADE-EL-003","elite","elite","DISTRIBUTION_OF_GAINS","false","","PASS","PASS"
"P52B-TRADE-EL-004","elite","elite","DYNAMIC_TRANSFER","false","","PASS","PASS"
"P75-TRADE-EL-005","elite","elite","NUMERICAL_GAIN_ONE_PARTY","true","gains","PASS","PASS"
"P75-TRADE-EL-006","elite","elite","NUMERICAL_GAIN_BOTH_PARTIES","true","gains","PASS","PASS"
"P52B-TRADE-L-001","legendary","legendary","FULL_TRADE_MODEL","true","strictBounds","PASS","PASS"
"P52B-TRADE-L-002","legendary","legendary","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P52B-TRADE-L-003","legendary","legendary","DISTRIBUTION_OF_GAINS","false","","PASS","PASS"
"P52B-TRADE-L-004","legendary","legendary","DYNAMIC_TRANSFER","false","","PASS","PASS"
"P52B-TRADE-L-005","legendary","legendary","NUMERICAL_GAIN_ONE_PARTY","true","net","PASS","PASS"
"P52B-TRADE-L-006","legendary","legendary","NUMERICAL_GAIN_ONE_PARTY","true","savings","PASS","PASS"
"P75-TRADE-L-007","legendary","legendary","FULL_TRADE_MODEL","true","strictBounds","PASS","PASS"
"P75-TRADE-L-008","legendary","legendary","NUMERICAL_GAIN_ONE_PARTY","true","gains","PASS","PASS"
"P75-TRADE-L-009","legendary","legendary","NUMERICAL_GAIN_BOTH_PARTIES","true","gains","PASS","PASS"
"P75-TRADE-L-010","legendary","legendary","TERMS_OF_TRADE","true","proposedRate","PASS","PASS"
"P75-TRADE-L-011","legendary","legendary","DISTRIBUTION_OF_GAINS","true","sumGains","PASS","PASS"
"P75-TRADE-L-012","legendary","legendary","DYNAMIC_TRANSFER","true","specialization","PASS","PASS"
"P75-TRADE-L-013","legendary","legendary","FULL_TRADE_MODEL","true","missingOutput","PASS","PASS"
"P75-TRADE-L-014","legendary","legendary","RECIPROCAL_OPPORTUNITY_COST","true","reciprocalBounds","PASS","PASS"
"P75-TRADE-L-015","legendary","legendary","FULL_TRADE_MODEL","true","equalCosts","PASS","PASS"
"P75-TRADE-L-016","legendary","legendary","NUMERICAL_GAIN_ONE_PARTY","true","net","PASS","PASS"
"P75-TRADE-L-017","legendary","legendary","FULL_TRADE_MODEL","true","hoursComparative","PASS","PASS"
"P75-TRADE-L-018","legendary","legendary","FULL_TRADE_MODEL","true","gains","PASS","PASS"
"P75-TRADE-L-019","legendary","legendary","DISTRIBUTION_OF_GAINS","true","twoRates","PASS","PASS"
"P75-TRADE-L-020","legendary","legendary","FULL_TRADE_MODEL","false","","PASS","PASS"
"P75-TRADE-L-021","legendary","legendary","FULL_TRADE_MODEL","false","","PASS","PASS"
"P75-TRADE-L-022","legendary","legendary","DISTRIBUTION_OF_GAINS","true","sumGains","PASS","PASS"
"P75-TRADE-L-023","legendary","legendary","DYNAMIC_TRANSFER","true","equalOutputCosts","PASS","PASS"
"P75-TRADE-L-024","legendary","legendary","RECIPROCAL_OPPORTUNITY_COST","true","reciprocalBounds","PASS","PASS"
"P75-TRADE-L-025","legendary","legendary","FULL_TRADE_MODEL","true","gains","PASS","PASS"
"P75-TRADE-L-026","legendary","legendary","FULL_TRADE_MODEL","true","outputGain","PASS","PASS"
"P75-TRADE-L-027","legendary","legendary","DYNAMIC_TRANSFER","false","","PASS","PASS"
"P52B-TRADE-B1-001","boss","easyBoss","FOUNDATIONAL_CONCEPT","false","","PASS","PASS"
"P52B-TRADE-B1-002","boss","easyBoss","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-B1-003","boss","easyBoss","FOUNDATIONAL_CONCEPT","false","","PASS","PASS"
"P52B-TRADE-B2-001","boss","mediumBoss","SIMPLE_OPPORTUNITY_COST","true","givenComparative","PASS","PASS"
"P52B-TRADE-B2-002","boss","mediumBoss","TERMS_OF_TRADE","false","","PASS","PASS"
"P52B-TRADE-B2-003","boss","mediumBoss","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P52B-TRADE-B3-001","boss","finalBoss","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-B3-002","boss","finalBoss","DISTRIBUTION_OF_GAINS","false","","PASS","PASS"
"P52B-TRADE-B3-003","boss","finalBoss","DYNAMIC_TRANSFER","false","","PASS","PASS"
"P75-TRADE-EB-004","boss","easyBoss","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P75-TRADE-EB-005","boss","easyBoss","SPECIALIZATION","true","givenComparative","PASS","PASS"
"P75-TRADE-MB-004","boss","mediumBoss","SIMPLE_OPPORTUNITY_COST","true","comparative","PASS","PASS"
"P75-TRADE-MB-005","boss","mediumBoss","TERMS_OF_TRADE","true","strictRate","PASS","PASS"
"P75-TRADE-FB-004","boss","finalBoss","TERMS_OF_TRADE","true","boundary","PASS","PASS"
"P75-TRADE-FB-005","boss","finalBoss","SIMPLE_OPPORTUNITY_COST","false","","PASS","PASS"
"P52B-TRADE-LB-001","legendaryBoss","legendaryBoss","FULL_TRADE_MODEL","true","strictBounds","PASS","PASS"
"P52B-TRADE-LB-002","legendaryBoss","legendaryBoss","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P52B-TRADE-LB-003","legendaryBoss","legendaryBoss","NUMERICAL_GAIN_ONE_PARTY","true","net","PASS","PASS"
"P75-TRADE-LB-004","legendaryBoss","legendaryBoss","FULL_TRADE_MODEL","true","gains","PASS","PASS"
"P75-TRADE-LB-005","legendaryBoss","legendaryBoss","DISTRIBUTION_OF_GAINS","true","boundary","PASS","PASS"
"P75-TRADE-LB-006","legendaryBoss","legendaryBoss","DYNAMIC_TRANSFER","true","specialization","PASS","PASS"
"P75-TRADE-LB-007","legendaryBoss","legendaryBoss","NUMERICAL_GAIN_BOTH_PARTIES","true","gains","PASS","PASS"
"P75-TRADE-LB-008","legendaryBoss","legendaryBoss","DISTRIBUTION_OF_GAINS","true","twoRates","PASS","PASS"
"P75-TRADE-LB-009","legendaryBoss","legendaryBoss","FULL_TRADE_MODEL","true","gains","PASS","PASS"
"P52B-TRADE-R-001","repair","repair","FOUNDATIONAL_CONCEPT","false","","PASS","PASS"
"P52B-TRADE-R-002","repair","repair","TERMS_OF_TRADE","false","","PASS","PASS"
"P52B-TRADE-R-003","repair","repair","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P75-TRADE-R-004","repair","repair","FOUNDATIONAL_CONCEPT","false","","PASS","PASS"
"P75-TRADE-R-005","repair","repair","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P75-TRADE-R-006","repair","repair","RECIPROCAL_OPPORTUNITY_COST","true","reciprocal","PASS","PASS"
"P75-TRADE-R-007","repair","repair","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P75-TRADE-R-008","repair","repair","TERMS_OF_TRADE","false","","PASS","PASS"
"ECON-MG-CORE-TRADE-30010","repairSeed","repairSeed","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-BR-001","bridge","bridge","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P52B-TRADE-BR-002","bridge","bridge","SIMPLE_OPPORTUNITY_COST","false","","PASS","PASS"
"P75-TRADE-BR-003","bridge","bridge","SPECIALIZATION","false","","PASS","PASS"
"P75-TRADE-BR-004","bridge","bridge","SIMPLE_OPPORTUNITY_COST","false","","PASS","PASS"
"P75-TRADE-BR-005","bridge","bridge","SPECIALIZATION","false","","PASS","PASS"
"P75-TRADE-BR-006","bridge","bridge","CONCEPTUAL_GAINS","false","","PASS","PASS"
