Canonical ID,Concept ID,Pool,Question,Correct Answer,Correct Index,Primary Skill,Common Error,Feedback,Hash Verified
P52B-S2-LSG-M-002,living-standards-and-growth,medium,"A country raises output mainly by requiring much longer workweeks, while output per hour is unchanged. What is the most careful interpretation?","Real GDP may rise, but productivity is unchanged and lost leisure can limit the welfare gain.",3,productivity_and_living_standards,Equating more total labor input with higher productivity and complete welfare improvement.,"More hours can raise output without raising output per hour, and GDP does not fully value lost leisure.",True
P52B-S2-LSG-M-003,living-standards-and-growth,medium,Why can a country with lower initial income eventually catch a richer country?,A persistently higher growth rate can compound enough to close the initial income gap.,0,growth_rate_catch_up,Assuming starting income permanently fixes a country’s relative position.,Sustained differences in growth rates compound over time and can outweigh an initial income gap.,True
P52B-S2-LSG-H-001,living-standards-and-growth,hard,Real GDP rises from $1.20 trillion to $1.32 trillion while population rises from 40 million to 42 million. Approximately how does real GDP per person change?,"It rises from $30,000 to about $31,429, a gain of roughly 4.8 percent.",1,real_gdp_per_person_comparison,Comparing total GDP growth without recomputing output per person.,"$1.20T/40M = $30,000 and $1.32T/42M ≈ $31,429, a gain of about 4.8%.",True
P52B-S2-LSG-H-002,living-standards-and-growth,hard,"A country’s real GDP per person rises 3 percent, but most of the gain goes to a small share of households. What can be concluded?","Average output per person rose, but the typical household may have gained less.",2,limits_of_real_gdp_per_person,Treating an average as a description of every household’s experience.,Real GDP per person is an average and does not reveal how income or output gains are distributed.,True
P52B-S2-LSG-H-003,living-standards-and-growth,hard,A country’s real GDP grows 3 percent while its population grows 4 percent. Approximately what happens to real GDP per person?,It falls about 1 percent.,3,real_gdp_per_person_growth,Adding population growth to output growth instead of subtracting it.,Approximate per-person growth equals real GDP growth minus population growth: 3% − 4% = −1%.,True
P52B-S2-LSG-L-001,living-standards-and-growth,legendary,"Real GDP per person rises, but average leisure falls sharply and pollution worsens. What is the most careful conclusion?","Market output per person rose, but overall well-being may have changed differently.",0,limits_of_real_gdp_per_person,Treating real GDP per person as a complete measure of welfare.,"Real GDP per person is useful for material output, but it does not fully capture leisure, environmental quality, distribution, or nonmarket activity.",True
P52B-S2-LSG-B1-001,living-standards-and-growth,boss_easy,A country reports $750 billion in inflation-adjusted output and 25 million residents. Which real-GDP-per-person figure is correct?,"$30,000.",1,real_gdp_per_person,Dividing by the wrong population scale.,"$900 billion divided by 30 million equals $30,000 per person.",True
P52B-S2-LSG-B1-002,living-standards-and-growth,boss_easy,"Using the Rule of 70, income growing at 3.5 percent per year doubles in about:",20 years.,2,rule_of_70,Multiplying 70 by the growth rate instead of dividing.,70 ÷ 3.5 = 20 years.,True
P52B-S2-LSG-B1-003,living-standards-and-growth,boss_easy,"If population grows faster than real GDP, real GDP per person will generally:",Fall.,3,real_gdp_per_person_growth,Ignoring population growth when evaluating average output.,Per-person output falls when the population denominator grows faster than total real output.,True
P52B-S2-LSG-B3-001,living-standards-and-growth,boss_hard,"Country A grows 2 percent annually and Country B grows 4 percent. Using the Rule of 70, their approximate doubling times are:",35 years for A and 17.5 years for B.,0,rule_of_70_comparison,Reversing the relationship between growth rates and doubling times.,Doubling time is 70 divided by the growth rate: 70/2 = 35 and 70/4 = 17.5.,True
P52B-S2-LSG-B3-002,living-standards-and-growth,boss_hard,Country A has real GDP of $2 trillion and 100 million people. Country B has real GDP of $1.5 trillion and 50 million people. Which has higher real GDP per person?,"Country B: $30,000 versus Country A’s $20,000.",1,real_gdp_per_person_comparison,Ranking living standards by total GDP rather than GDP per person.,"A has $20,000 per person; B has $30,000 per person, so B has the higher average output per person.",True
P52B-S2-LSG-B3-003,living-standards-and-growth,boss_hard,Real GDP grows 5 percent and population grows 2 percent. Approximate real GDP per person growth is:,3 percent.,2,real_gdp_per_person_growth,Adding population growth to output growth.,Approximate per-person growth is 5% − 2% = 3%.,True
P52B-S2-LSG-LB-001,living-standards-and-growth,legendaryBoss,"Country A starts at $48,000 real GDP per person and grows 2 percent annually. Country B starts at $24,000 and grows 4 percent. Using the Rule of 70, what is the strongest implication after about 35 years?","Both are near $96,000 per person because A doubles once and B doubles twice.",3,growth_rate_catch_up,Ignoring compounding and different doubling times when comparing convergence.,"At 2 percent A doubles in about 35 years. At 4 percent B doubles in about 17.5 years, so it doubles twice in roughly 35 years.",True
P52B-S2-LMI-E-001,labor-market-institutions,easy,A job-placement service that quickly matches workers with suitable openings is most likely to reduce:,Frictional unemployment caused by normal job search.,0,frictional_unemployment,Confusing job matching with policies that address cyclical demand shortfalls.,Better matching shortens normal job-search spells and therefore reduces frictional unemployment.,True
